conn_in	conn_out	dns_in_distinct	ssh_in
42509.0	17098.0	35.0	2967.0
43221.0	17217.0	36.0	2833.0
43312.0	17515.0	38.0	2790.0
42357.0	16628.0	38.0	2823.0
43328.0	17167.0	34.0	2812.0
43470.0	17363.0	33.0	2899.0
43964.0	16959.0	34.0	3014.0
43479.0	17516.0	38.0	3103.0
43271.0	16953.0	33.0	3117.0
42525.0	16918.0	33.0	3002.0
41543.0	17047.0	41.0	2954.0
42262.0	15809.0	41.0	2881.0
41588.0	16288.0	41.0	2774.0
40451.0	16187.0	71.0	2708.0
40704.0	16204.0	71.0	3097.0
49197.0	16616.0	70.0	10732.0
55416.0	15719.0	65.0	17196.0
70297.0	21076.0	66.0	23299.0
74580.0	20917.0	66.0	25131.0
76308.0	20435.0	34.0	26539.0
77243.0	20524.0	35.0	27511.0
69794.0	20061.0	35.0	20571.0
64164.0	20837.0	34.0	14816.0
51156.0	15868.0	31.0	8614.0
48356.0	16039.0	30.0	6902.0
46968.0	15883.0	31.0	5773.0
45659.0	15699.0	31.0	4709.0
44739.0	15851.0	32.0	4010.0
45255.0	15391.0	32.0	3849.0
43336.0	16225.0	30.0	5216.0
42878.0	16166.0	28.0	6179.0
43371.0	16544.0	27.0	6428.0
43474.0	16538.0	28.0	6935.0
44090.0	16514.0	29.0	7043.0
43195.0	16493.0	31.0	6894.0
42707.0	15762.0	31.0	6404.0
42319.0	15788.0	31.0	5328.0
41571.0	15593.0	32.0	4750.0
41804.0	15446.0	33.0	4249.0
42040.0	15661.0	33.0	4492.0
43112.0	15777.0	35.0	5149.0
42304.0	15884.0	35.0	5002.0
42333.0	16609.0	35.0	5595.0
44084.0	16399.0	34.0	7659.0
47653.0	16969.0	34.0	11545.0
49196.0	16340.0	32.0	13797.0
49518.0	16796.0	28.0	13906.0
51391.0	16414.0	26.0	13289.0
51406.0	16237.0	28.0	12834.0
50016.0	16613.0	30.0	11502.0
46169.0	16895.0	31.0	7573.0
43706.0	17464.0	31.0	5043.0
42180.0	17604.0	33.0	4258.0
50602.0	22664.0	32.0	4411.0
52115.0	19833.0	40.0	4309.0
51787.0	19102.0	40.0	4301.0
52817.0	19369.0	39.0	4319.0
52700.0	19332.0	37.0	4523.0
52095.0	19451.0	36.0	3815.0
46138.0	15761.0	33.0	3855.0
45145.0	15278.0	34.0	3951.0
45145.0	15729.0	33.0	4155.0
44009.0	15201.0	32.0	4372.0
43588.0	15535.0	31.0	3939.0
44139.0	15548.0	32.0	4294.0
40615.0	15451.0	33.0	4566.0
39077.0	15482.0	35.0	4462.0
39473.0	15332.0	35.0	4571.0
39669.0	15725.0	34.0	4559.0
39409.0	15609.0	34.0	4572.0
39217.0	15762.0	35.0	4524.0
39845.0	15950.0	35.0	4277.0
39886.0	16078.0	34.0	4027.0
39398.0	16277.0	33.0	3684.0
38828.0	15916.0	34.0	3418.0
38773.0	15910.0	34.0	3416.0
38225.0	15520.0	34.0	3210.0
37668.0	15300.0	41.0	3153.0
37568.0	15387.0	40.0	3256.0
38160.0	15019.0	40.0	4011.0
40850.0	15735.0	37.0	5818.0
42455.0	15367.0	34.0	7109.0
43565.0	15870.0	34.0	8092.0
47285.0	15600.0	27.0	9427.0
49139.0	15948.0	29.0	10094.0
50110.0	16030.0	31.0	10284.0
49663.0	15762.0	32.0	9350.0
49526.0	16034.0	34.0	9088.0
48014.0	15454.0	33.0	8371.0
53655.0	20088.0	35.0	7055.0
55517.0	20143.0	36.0	6964.0
53777.0	20079.0	34.0	6298.0
52146.0	19936.0	35.0	5896.0
51359.0	19952.0	40.0	5047.0
52500.0	20330.0	43.0	5306.0
46414.0	15684.0	45.0	5500.0
44301.0	15725.0	47.0	4875.0
43964.0	15379.0	48.0	4831.0
44313.0	15737.0	48.0	4750.0
44641.0	15550.0	47.0	4825.0
43898.0	15414.0	46.0	4491.0
40250.0	15546.0	45.0	4387.0
39238.0	15017.0	47.0	4389.0
40306.0	15817.0	46.0	4167.0
39185.0	15267.0	48.0	3789.0
38732.0	16469.0	45.0	3765.0
39974.0	16411.0	45.0	3808.0
40390.0	16779.0	40.0	3703.0
40316.0	16931.0	36.0	3757.0
39010.0	16299.0	32.0	3890.0
39562.0	16592.0	28.0	3879.0
39576.0	15467.0	30.0	3666.0
38119.0	15731.0	28.0	3395.0
37425.0	15379.0	28.0	3436.0
37156.0	15446.0	25.0	3343.0
37635.0	15652.0	29.0	3175.0
38449.0	15777.0	30.0	3843.0
39556.0	16339.0	29.0	4849.0
39621.0	15911.0	30.0	5131.0
42523.0	16138.0	30.0	5172.0
43259.0	16212.0	33.0	5306.0
43666.0	16526.0	32.0	5608.0
43596.0	16312.0	36.0	4947.0
41488.0	15456.0	38.0	3925.0
42845.0	16010.0	40.0	3656.0
49534.0	19794.0	41.0	3701.0
51198.0	20110.0	44.0	3807.0
50075.0	19204.0	42.0	3563.0
51886.0	19605.0	39.0	3546.0
52837.0	19907.0	36.0	3559.0
51103.0	19408.0	30.0	3756.0
45240.0	15413.0	30.0	3563.0
43897.0	14931.0	30.0	3612.0
44860.0	15755.0	30.0	3445.0
