window_start	window_end	avg_conn_duration	number_of_conn	sum_orig_kbytes	sum_resp_kbytes
26/07/18 20:20	26/07/18 20:30	0.6878454041669699	13727	2433	429431
26/07/18 20:30	26/07/18 20:40	0.9712879114683471	13001	3110	393522
26/07/18 20:40	26/07/18 20:50	0.8621109590934238	32562	9014	407456
26/07/18 20:50	26/07/18 21:00	1.2742014470398713	17381	5042	634188
26/07/18 21:00	26/07/18 21:10	1.1659219260418858	14373	4666	374166
26/07/18 21:10	26/07/18 21:20	0.8350307933486308	13080	3750	392149
26/07/18 21:20	26/07/18 21:30	0.9454664098573281	13878	4144	396257
26/07/18 21:30	26/07/18 21:40	1.0672964791896853	16290	16006269	623816
26/07/18 21:40	26/07/18 21:50	0.5727987544337758	23118	5887	395425
26/07/18 21:50	26/07/18 22:00	0.9240207369233031	13612	3928	383690
26/07/18 22:00	26/07/18 22:10	0.8955936601862564	14711	3800	442104
26/07/18 22:10	26/07/18 22:20	0.8657019331086719	15727	3841	615966
26/07/18 22:20	26/07/18 22:30	1.962341925623588	13230	3806	398667
26/07/18 22:30	26/07/18 22:40	0.7646570712868257	13102	2822	503662
26/07/18 22:40	26/07/18 22:50	0.6793401310256401	15600	3968	539640
26/07/18 22:50	26/07/18 23:00	1.039224533018871	14840	4400	563516
26/07/18 23:00	26/07/18 23:10	0.960342233586582	13952	3456	377945
26/07/18 23:10	26/07/18 23:20	1.2189468938835655	13570	3228	395244
26/07/18 23:20	26/07/18 23:30	0.7842738804477116	14295	2605	552258
26/07/18 23:30	26/07/18 23:40	0.638707528269638	14627	3226	539851
26/07/18 23:40	26/07/18 23:50	0.6610066831112718	13885	4366	361234
26/07/18 23:50	27/07/18 00:00	1.0594412792074501	12668	4165	390079
27/07/18 00:00	27/07/18 00:10	0.809510758911387	15065	2912	519616
27/07/18 00:10	27/07/18 00:20	0.8377088959409604	14905	3147	538383
27/07/18 00:20	27/07/18 00:30	0.6755023862632196	14938	2409	377806
27/07/18 00:30	27/07/18 00:40	0.6667764719056962	12725	3213	371783
27/07/18 00:40	27/07/18 00:50	0.8922967742521012	14875	4216	521054
27/07/18 00:50	27/07/18 01:00	0.9529306197788717	14652	3819	532039
27/07/18 01:00	27/07/18 01:10	0.8792196459617869	13137	2964	359527
27/07/18 01:10	27/07/18 01:20	0.6595026808286805	12357	2706	353231
27/07/18 01:20	27/07/18 01:30	0.7204537296307365	13378	2581	526134
27/07/18 01:30	27/07/18 01:40	0.8220517151928984	14645	3567	504601
27/07/18 01:40	27/07/18 01:50	0.8802224502983939	16589	4322	372440
27/07/18 01:50	27/07/18 02:00	1.0503202868621904	12445	3185	1095911
27/07/18 02:00	27/07/18 02:10	0.8745946095926419	15220	3541	557121
27/07/18 02:10	27/07/18 02:20	1.1154346331790241	14473	4235	484258
27/07/18 02:20	27/07/18 02:30	0.9990932122627297	13276	6852	400125
27/07/18 02:30	27/07/18 02:40	2.1546197799309574	12746	5195	367213
27/07/18 02:40	27/07/18 02:50	1.1708922424623072	30248	9105	446582
27/07/18 02:50	27/07/18 03:00	0.7510764230526972	19052	3808	467261
27/07/18 03:00	27/07/18 03:10	3.5052562496566213	15289	23356	798968
